Random case,Binary Seach,Double for loop,Two index
50000,3.546516,87,0.151816
100000,1.848738,414,0.414394
150000,1.063998,776,0.55381
200000,1.256869,1493,0.984454
250000,1.123014,2808,0.075267
300000,1.413817,3159,0.144546
350000,1.733273,4508,0.065859
400000,2.902045,5850,0.050035
450000,2.136121,7297,0.056022
500000,5.407229,9518,0.064575
550000,2.84645,11355,0.067569
600000,3.01409,13602,0.082537
650000,3.272392,15780,0.119315
700000,3.574741,18409,0.087669
750000,8.085185,20659,0.116749
800000,4.001538,25067,0.113328
Worst case,,,
50000,5.994823,377,0.102209
100000,3.28907,1662,0.186456
150000,7.752044,3618,1.408685
200000,7.873498,7478,0.254025
250000,8.180123,12320,0.191588
300000,10.610469,17269,0.221952
350000,18.383468,22584,0.521735
400000,32.047798,29806,0.319884
450000,17.274567,38957,0.297646
500000,17.927591,46914,0.349392
550000,20.505476,55722,0.363932
600000,23.647433,64597,0.508905
650000,24.823476,75739,0.437915
700000,27.336358,89894,0.627365
750000,30.90725,105437,1.25473
800000,76.597996,115184,0.622234
